 Maladies,Symptomes,Traitement,Examens
Cryptosporidiose,"Diarrhée aqueuse,Douleurs abdominales,Fièvre,Nausées,Vomissements,Perte de poids,Fatigue,Douleurs musculaires,Maillons,Déshydratation","réhydratation,antiparasitaires,traitement symptomatique","analyse de selles,tests sanguins,endoscopie en cas de symptômes graves"
Leishmaniose,"Lésions cutanées (ulcères) sur la peau,Fièvre,Fatigue,Perte de poids,Gonflement des ganglions lymphatiques,Anémie,Douleurs musculaires,Douleurs articulaires,Sensations de brûlure,Sensations de picotement","antiparasitaires,antibiotiques,soins de la plaie","analyse de tissu prélevé de l'ulcère,tests sanguins,imagerie médicale"
Lèpre,"Lésions cutanées hypopigmentées ou érythémateuses,Engourdissement,Faiblesse musculaire,Déformations des membres,Douleurs nerveuses,Perte de sourcils ou de cils,Perte de la capacité à sentir la chaleur ou le froid,perte de sensation dans les membres","multithérapie antibactérienne,soins de la peau,réadaptation physique","biopsie de la peau,examen des nerfs,tests sanguins"
Tuberculose,"Toux persistante,Expectorations de sang,Fatigue,Fièvre,Perte de poids inexpliquée,Sueurs nocturnes,Essoufflement,Douleurs thoraciques,Appétit réduit","antibiotiques (multithérapie),isolement,traitement directement observé (TDO)","radiographie thoracique,test cutané à la tuberculine,analyse de crachats"
Sarcoïdose,"Gonflement des ganglions lymphatiques,Essoufflement,Toux persistante,Fatigue,Douleurs articulaires,Éruptions cutanées,Fèces sanglantes ou glaireuses,Troubles de la vision,Douleurs thoraciques","corticoïdes,immunosuppresseurs,traitement symptomatique","radiographie thoracique,tomographie par émission de positrons (TEP),biopsie"
Amibiase,"Diarrhée,Douleurs abdominales,Crampes abdominales,Nausées,Vomissements,Fatigue,Perte de poids,sèlles sanglantes ou glaireuses","antiparasitaires,antibiotiques,réhydratation","analyse de selles,imagerie médicale,tests sanguins"
Giardiase,"Diarrhée,Flatulences,Douleurs abdominales,Nausées,Perte d'appétit,Fatigue,Perte de poids,Ballonnements","antiparasitaires,réhydratation,traitement symptomatique","analyse de selles,tests sanguins,imagerie médicale"
SIDA,"Fatigue,Fièvre,Gonflement des ganglions lymphatiques,Perte de poids inexpliquée,Sueurs nocturnes,Maux de tête,Douleurs musculaires,Maux de gorge,Infections opportunistes,Diarrhée persistante,Toux prolongée,Lésions cutanées,Méningite,Problèmes de mémoire et de concentration",traitement antirétroviral,"test de dépistage du VIH,compte de lymphocytes CD4"
Syphilis,"Chancre indolore (ulcération),Éruption cutanée sur la peau, y compris les paumes et les plantes des pieds,Ganglions lymphatiques enflés,Fatigue,Fièvre,Maux de tête,Douleurs musculaires,Perte de poids inexpliquée,Saisons de fièvre, sueurs nocturnes et fatigue (stades avancés)","pénicilline,doxycycline","test de la syphilis,examen au microscope"
Chlamydia,"Douleur ou brûlure pendant la miction,Écoulement anormal du pénis ou du vagin,Douleur abdominale basse,Douleurs pendant les rapports sexuels,Saignements entre les règles,Douleurs testiculaires,Inflammation cervicale","azithromycine,doxycycline","test de dépistage de la chlamydia,culture cellulaire"
Gonorrhée,"Écoulement épais et jaune du pénis ou du vagin,Douleur ou brûlure pendant la miction,Douleurs abdominales basses,Douleurs pendant les rapports sexuels,Saignements entre les règles,Gorge irritée","céfixime,azithromycine","test de dépistage de la gonorrhée,culture cellulaire"
Herpès génital,"lésions génitales,démangeaisons,douleur en urinant,Vésicules douloureuses sur les organes génitaux ou autour de l'anus,Démangeaisons,Sensation de brûlure pendant la miction,Douleurs pendant les rapports sexuels,Gonflement des ganglions lymphatiques","antiviraux,médicaments symptomatiques","test de l'herpès,examen clinique"
Condylomes génitaux (HPV),"verrues génitales,démangeaisons,Saignements pendant les rapports sexuels","crèmes antivirales,ablation des verrues","test HPV,examen visuel"
Hépatite B,"Fatigue,Jaunisse,Douleurs abdominales,Perte d'appétit,Nausées et vomissements,Urine foncée,Fièvre,Selles décolorées,Douleurs articulaires,Irritation cutanée","antiviraux,vaccination (pour l'hépatite B)","test d'hépatite,échographie hépatique"
Hépatite C,"Fatigue,Jaunisse,Douleurs abdominales,Perte d'appétit,Nausées et vomissements,Urine foncée,Fièvre,Selles décolorées,Douleurs musculaires et articulaires,Irritation cutanée","antiviraux,vaccination (pour l'hépatite B)","test d'hépatite,échographie hépatique"
Trichomonase,"démangeaisons,écoulement génital,douleur en urinant,Écoulement vaginal vert ou jaune-vert,Démangeaisons ou irritation vaginal,Douleur pendant les rapports sexuels,Douleur pendant la miction,Gonflement des organes génitaux externes","métronidazole,tinidazole","test de dépistage de la trichomonase,examen microscopique"
Molluscum contagiosum,"lésions cutanées,démangeaisons,Petites bosses ou nodules sur la peau,Aspect perlé ou lisse des lésions,Inflammation des lésions","ablation des lésions,médicaments antiviraux","examen visuel,biopsie (dans certains cas)"
Mycoplasmose génitale,"Douleur ou brûlure pendant la miction,Écoulement génital anormal,Douleur pelvienne,Douleur pendant les rapports sexuels,Irritation génitale,Saignements entre les règles,Inflammation cervicale,Douleur abdominale basse,Fièvre,Fatigue","azithromycine,doxycycline","test de dépistage de la mycoplasmose,culture cellulaire"
Ureaplasmose,"Douleur ou brûlure pendant la miction,Écoulement anormal du vagin ou de l'urètre,Douleur pelvienne,Douleur pendant les rapports sexuels,Irritation génitale,Saignements inhabituels,Douleur ou inflammation articulaire,Fièvre,Fatigue,Sensibilité abdominale","azithromycine,doxycycline","test de dépistage de l'ureaplasmose,culture cellulaire"
Chancre mou (Ulcère molle),"Ulcération génitale indolore,Ganglions lymphatiques enflés,Fièvre,Douleurs musculaires,Maux de tête,Fatigue,Éruptions cutanées","azithromycine,céfixime","test de dépistage du chancre mou,examen microscopique"
Granulome inguinal (Donovanose),"Ulcération génitale indolore,Ganglions lymphatiques enflés,Douleur pendant les rapports sexuels,Saignements pendant les rapports sexuels,Éruptions cutanées,Nodules ou bosses génitales","doxycycline,azithromycine","test de dépistage de la donovanose,examen microscopique"
Lymphogranulomatose vénérienne (LGV),"Petite lésion ou ulcération génitale,Ganglions lymphatiques enflés dans l'aine,Douleur pendant les rapports sexuels,Saignements pendant les rapports sexuels,Douleur abdominale basse,Fièvre,Fatigue","doxycycline,azithromycine","test de dépistage de la LGV,culture cellulaire"
Mycobacterium avium complex (MAC),"Fièvre,Sueurs nocturnes,Fatigue,Perte de poids,Diarrhée persistante,Douleurs abdominales,Infections opportunistes","antibiotiques,traitement symptomatique","test de dépistage du MAC,imagerie médicale"
Infections à clamidies non génitales,"Infections oculaires (conjonctivite),Infections respiratoires,Douleurs articulaires,Frissons,Fièvre,Maillons","azithromycine,doxycycline","test de dépistage des infections à chlamydia,culture cellulaire"
Tréponématose non vénérienne,"Lésions cutanées (chancre),Ganglions lymphatiques enflés,Fièvre,Fatigue,Maux de tête,Douleurs musculaires,Éruptions cutanées","pénicilline,doxycycline","test de dépistage de la tréponématose non vénérienne,examen microscopique"
Diabète de type 2,"Polyurie (urination fréquente),soif excessive,faim excessive,Fatigue,Vision floue,Cicatrisation lente des plaies,Engourdissement ou picotements dans les pieds ou les mains,Infections fréquentes","médicaments hypoglycémiants,régime alimentaire,exercice physique","glycémie à jeun,hémoglobine A1c"
Hypertension artérielle,"Maux de tête fréquents,Vertiges,Essoufflement,Fatigue,Vision floue,Saignements de nez fréquents,Battements cardiaques irréguliers,Étourdissements","antihypertenseurs,changement de mode de vie","mesure de la pression artérielle,analyse d'urine"
Cancer du sein,"Nodule ou masse dans le sein ou l'aisselle,Changement de taille ou de forme du sein,Douleur au sein ou au mamelon,Écoulement du mamelon (autre que le lait maternel),Peau du sein rouge, épaissie ou présentant des écailles,Changements dans l'apparence du mamelon ou de l'aréole","chirurgie,chimiothérapie,radiothérapie","mammographie,biopsie"
Glaucome,"Vision floue ou réduite,Vision des halos autour des lumières,Maux de tête,Nausées ou vomissements,Œil rouge,Perte de vision latérale (vision périphérique)","collyres,chirurgie au laser,chirurgie traditionnelle","mesure de la pression intraoculaire,examen du champ visuel,gonioscopie"
Leucémie,"Fatigue intense,Perte de poids inexpliquée,Fièvre persistante ou fréquente,Infections fréquentes,Saignements ou ecchymoses faciles,Ganglions lymphatiques enflés,Douleurs osseuses ou articulaires,Anémie","chimiothérapie,greffe de moelle osseuse,thérapie ciblée","analyse de sang (numération sanguine complète),biopsie de la moelle osseuse,imagerie médicale"
Maladie de Crohn,"Diarrhée fréquente,Douleurs abdominales,Perte de poids inexpliquée,Fatigue,Fièvre,Saignements rectaux,Inflammation des articulations,Ulcérations buccales","anti-inflammatoires,immunosuppresseurs,chirurgie","endoscopie,coloscopie,imagerie par résonance magnétique (IRM)"
Maladie d'Alzheimer,"Perte de mémoire,Difficulté à se rappeler des informations récentes,Confusion mentale,Difficulté à effectuer des tâches familières,Changements de personnalité,Difficulté à trouver des mots,Problèmes de jugement","médicaments antidémence,thérapie occupationnelle,soutien psychologique","évaluation cognitive,imagerie cérébrale,analyses de sang"
Maladie de Parkinson,"Tremblements au repos,Raideur musculaire,Lenteur des mouvements,Difficulté à commencer ou à arrêter un mouvement,Problèmes d'équilibre,Changements de l'expression faciale (masque parkinsonien)","médicaments dopaminergiques,thérapie physique,chirurgie cérébrale profonde","examen neurologique,imagerie cérébrale,tests sanguins"
Asthme,"Essoufflement,Toux fréquente, en particulier la nuit,Sifflements ou respiration sifflante,Sensation de serrement dans la poitrine,Fatigue due à un effort physique","inhalateurs de corticostéroïdes,bronchodilatateurs,thérapie respiratoire","spirométrie,tests d'allergie,radiographie thoracique"
Maladie cœliaque,"Diarrhée chronique,Douleurs abdominales,Ballonnements,Fatigue,Perte de poids inexpliquée,Anémie,Irritabilité","régime sans gluten,suppléments nutritionnels,médicaments symptomatiques","analyse de sang (anticorps),biopsie de l'intestin grêle,tests génétiques"
Fibromyalgie,"Douleurs musculaires diffuses,Fatigue généralisée,Troubles du sommeil,Raideur matinale,Problèmes de concentration (brouillard cérébral),Maux de tête","médicaments analgésiques,thérapie physique,thérapie cognitivo-comportementale","aucun test spécifique,diagnostic basé sur les symptômes"
Arthrite rhumatoïde,"Douleurs articulaires,Raideur articulaire,Enflure des articulations,Fatigue,Fièvre,Perte d'appétit,Nodules sous la peau","médicaments anti-inflammatoires,thérapie physique,médicaments antirhumatismaux","analyse de sang (facteur rhumatoïde),radiographie articulaire,échographie articulaire"
Maladie cardiaque coronarienne,"Douleur thoracique ou inconfort (angine de poitrine),Essoufflement,Fatigue,Nausées,Sueur excessive,Douleur ou engourdissement dans les bras, le cou, la mâchoire ou le dos","médicaments anti-angineux,angioplastie coronarienne,bypass coronarien","électrocardiogramme (ECG),échocardiographie,cathétérisme cardiaque"
Sclérose en plaques,"Fatigue,Problèmes de vision,Engourdissements ou picotements,Faiblesse musculaire,Difficulté à coordonner les mouvements,Troubles de la mémoire et de la concentration","médicaments immunomodulateurs,thérapie physique,médicaments symptomatiques","IRM cérébrale et médullaire,ponction lombaire,électromyographie (EMG)"
Tumeur du cerveau,"Maux de tête persistants,Nausées et vomissements,Convulsions,Changements dans la vision,Problèmes d'équilibre et de coordination,Changements de personnalité ou d'humeur,Confusion ou désorientation,Problèmes de mémoire,Engourdissement ou faiblesse dans les bras ou les jambes,Troubles du sommeil,Difficultés d'élocution,Vision floue ou double,Changements dans la sensation ou le mouvement d'une partie du corps","chirurgie,radiothérapie,chimiothérapie","imagerie cérébrale (IRM et scanner),biopsie,analyse sanguine"
Cancer du col utérin,"Saignements vaginaux anormaux,Douleur pendant les rapports sexuels,Douleur pelvienne,Fatigue,Perte de poids inexpliquée,Écoulement vaginal anormal","chirurgie,radiothérapie,chimiothérapie","frottis cervico-utérin,colposcopie,biopsie"
Cancer colorectal,"Changements dans les habitudes intestinales,Sang dans les selles,Douleur abdominale,Fatigue,Perte de poids inexpliquée,Anémie","chirurgie,chimiothérapie,radiothérapie","coloscopie,sigmoïdoscopie,analyses de sang"
Cancer de l'endomètre,"Saignements vaginaux anormaux,Douleur pelvienne,Douleur pendant les rapports sexuels,Fatigue,Perte de poids inexpliquée","chirurgie,radiothérapie,hormonothérapie","biopsie de l'endomètre,échographie pelvienne,imagerie médicale"
Cancer de l'estomac,"Douleur abdominale,Sensation de plénitude après un repas,Perte d'appétit,Perte de poids inexpliquée,Difficulté à avaler","chirurgie,chimiothérapie,radiothérapie","endoscopie gastrique,biopsie,imagerie médicale"
Cancer du foie,"Douleur abdominale,Gonflement de l'abdomen,Jaunissement de la peau et des yeux (ictère),Perte de poids inexpliquée,Fatigue","chirurgie,transplantation hépatique,chimioembolisation","échographie abdominale,IRM du foie,biopsie hépatique"
Tumeur stromale gastro-intestinale,"Douleur abdominale ou inconfort,Saignements gastro-intestinaux,Anémie,Fatigue,Sensation de plénitude ou de satiété précoce","chirurgie,thérapie ciblée,chimiothérapie","endoscopie gastro-intestinale,biopsie,imagerie médicale"
Lymphomes,"Gonflement indolore des ganglions lymphatiques (notamment au cou et aux aisselles ou à l'aine),Fatigue,Fièvre inexpliquée,Perte de poids inexpliquée,Sudation nocturne excessive","chimiothérapie,immunothérapie,radiothérapie","biopsie d'un ganglion lymphatique,scanner,IRM"
Carcinome hépatocellulaire,"Douleur abdominale,Gonflement de l'abdomen,Perte de poids inexpliquée,Fatigue,Jaunissement de la peau et des yeux (ictère)","chirurgie,radiofréquence,greffe de foie","échographie du foie,scanner,IRM"
Sarcome de Kaposi,"Lésions cutanées violettes, rouges ou brunes,Gonflement des jambes ou des pieds,Douleurs dans les jambes,Essoufflement","thérapie antirétrovirale,chirurgie,radiothérapie","biopsie cutanée,analyse sanguine,imagerie médicale"
Cancer du larynx,"Enrouement persistant,Changement dans la voix,Douleur à la gorge ou à l'oreille,Difficulté à avaler","chirurgie,radiothérapie,chimiothérapie","laryngoscopie,biopsie,imagerie médicale"
Mésothéliome,"Essoufflement,Douleur thoracique,Toux persistante,Perte de poids inexpliquée,Fatigue","chirurgie,chimiothérapie,thérapie ciblée","scanner thoracique,biopsie,imagerie médicale"
Cancer de l'œsophage,"Difficulté à avaler (dysphagie),Douleur ou sensation de brûlure derrière le sternum,Perte de poids inexpliquée,Toux persistante","chirurgie,chimiothérapie,radiothérapie","endoscopie digestive haute,biopsie,imagerie médicale"
Ostéosarcome,"Douleur osseuse, généralement dans les bras ou les jambes,Gonflement autour des os affectés,Fractures osseuses fréquentes,Masse palpable sur les os,fractures spontanées","chirurgie,chimiothérapie,radiothérapie","radiographie,IRM,biopsie"
Cancer de l'ovaire,"Gonflement abdominal,Douleur pelvienne ou abdominale,Besoin fréquent d'uriner,Sensation de satiété rapide en mangeant","chirurgie,chimiothérapie,hormonothérapie","échographie pelvienne,tomographie par émission de positons (TEP),biopsie"
Cancer du pancréas,"Douleur abdominale ou lombaire,Perte de poids inexpliquée,Jaunissement de la peau et des yeux (ictère),Perte d'appétit","chirurgie,chimiothérapie,radiothérapie","scanner abdominal,IRM,biopsie"
Cancer de la peau,"Changements dans la taille, la forme ou la couleur des grains de beauté ou des lésions cutanées,Saignements ou démangeaisons persistantes,Douleur,Croissance rapide","chirurgie,radiothérapie,chimiothérapie","biopsie de la peau,dermatoscopie,imagerie médicale"
Cancer de la bouche,"Lésions buccales persistantes,Difficulté à mâcher ou à avaler,Douleur à l'oreille,Masse ou enflure dans la bouche ou le cou","chirurgie,radiothérapie,chimiothérapie","examen buccal,biopsie,imagerie médicale"
Carcinome pulmonaire à petites cellules (cancer du poumon),"Toux persistante,Essoufflement,Douleur thoracique,Perte de poids inexpliquée,Toux avec du sang","chirurgie,chimiothérapie,radiothérapie","scanner thoracique,biopsie pulmonaire,tomographie par émission de positons (TEP)"
Cancer de la prostate,"Besoin fréquent d'uriner,Douleur ou sensation de brûlure pendant la miction,Flux urinaire faible ou interrompu,Sang dans l'urine ou le sperme,Douleur dans le dos, les hanches ou le bassin","chirurgie,radiothérapie,hormonothérapie","dosage de l'antigène prostatique spécifique (PSA),biopsie de la prostate,IRM pelvienne"
Cancer du rein,"Douleur dans le dos ou sur le côté,Masse abdominale palpable,Sang dans l'urine,Fatigue,Perte de poids inexpliquée","chirurgie,immunothérapie,thérapie ciblée","imagerie rénale (IRM et scanner),urographie intraveineuse,biopsie rénale"
Cancer du testicule,"Gonflement ou masse dans le testicule,Douleur ou inconfort dans le testicule ou le scrotum,Sensation de lourdeur dans le scrotum,Douleur ou inconfort dans le bas du dos ou l'aine","chirurgie,chimiothérapie,radiothérapie","examen physique,échographie testiculaire,biopsie"
Cancer de la thyroïde,"Gonflement ou bosse dans le cou,Changements dans la voix,Difficulté à avaler,Douleur dans le cou","chirurgie,thyroïdectomie,radiothérapie","échographie thyroïdienne,scintigraphie thyroïdienne,biopsie à l'aiguille fine"
Sarcome des tissus mous,"Masse ou gonflement indolore,Douleur persistante,Saignements inhabituels,Fatigue","chirurgie,radiothérapie,chimiothérapie","biopsie,IRM,scanner"
Carcinome de la vessie,"Sang dans l'urine,Douleur à la miction,Besoin fréquent d'uriner,Douleur pelvienne","chirurgie,chimiothérapie,immunothérapie","cystoscopie,urographie intraveineuse,biopsie de la vessie"
Myélome,"Douleurs osseuses, surtout dans le dos ou les côtes,Fatigue,Fractures osseuses fréquentes,Infections récurrentes,Perte de poids inexpliquée","chimiothérapie,transplantation de cellules souches,thérapie ciblée","électrophorèse des protéines sériques et urinaires,biopsie de moelle osseuse,imagerie médicale"
Plasmocytome,"Douleurs osseuses localisées,Masse palpable sur les os,Fractures osseuses,Fatigue","chirurgie,radiothérapie,chimiothérapie","biopsie,imagerie médicale,analyse sanguine"
Pneumonie,"fièvre,toux avec expectorations,douleur thoracique,difficulté à respirer","antibiotiques,antipyrétiques,repos","radiographie pulmonaire,analyse de sang"
Bronchite,"toux persistante,production de mucosités,fatigue fièvre légère","repos,antitussifs,hydratation","analyse de crachat,radiographie pulmonaire si nécessaire"
Otite,"douleur à l'oreille,fièvre perte auditive temporaire","antibiotiques (si bactérienne),analgésiques,gouttes auriculaires",examen de l'oreille par un professionnel de la santé
Méningite,"raideur de la nuque,maux de tête sévères fièvre,confusion","antibiotiques,traitement de support,hospitalisation","ponction lombaire,analyse de liquide céphalorachidien"
Angine,"maux de gorge,difficulté à avaler,fièvre ganglions enflés","antibiotiques (si bactérienne),antalgiques,gargarismes","examen de la gorge,analyse de la gorge pour détecter une infection bactérienne"
Infections urinaires,"brûlures en urinant,besoin fréquent d'uriner,douleur pelvienne","antibiotiques,hydratation,repos","analyse d'urine,culture d'uriner"
Panaris,"rougeur et gonflement autour de l'ongle,douleur pulsatile","drainage de l'abcès, antibiotiques,repos","examen clinique,culture du pus si nécessaire"
Septicémie,"fièvre élevée,confusion,frissons,hypotension","antibiotiques par voie intraveineuse,soutien hémodynamique,soins intensifs","hémoculture,analyse de sang approfondie"
Varicelle,"éruption cutanée avec des démangeaisons,fièvre,maux de tête,fatigue","antihistaminiques,antipyrétiques,calamine pour les démangeaisons",les symptômes sont souvent suffisants pour le diagnostic
Rougeole,"éruption cutanée,fièvre élevée,toux,conjonctivite","repos,antipyrétiques,vitamine A en cas de carence","analyse de sang,observation des symptômes caractéristiques"
Rubéole,"éruption cutanée légère,fièvre légère,ganglions enflés","repos,gestion des symptômes",analyse de sang pour détecter les anticorps
Coqueluche,"toux sévère par accès,éternuements,épuisement,vomissements après la toux","antibiotiques,vaccin de rappel",prélèvement de sécrétions nasales pour la culture
Oreillons,"gonflement des glandes salivaires,fièvre,douleur en mangeant ou en buvant","repos,antipyrétiques,compresses chaudes sur les glandes enflées",observation des symptômes caractéristiques
Maladies cardiovasculaires,"douleur thoracique,essoufflement,fatigue,palpitations","médicaments antiplaquettaires,médicaments pour abaisser la pression artérielle","électrocardiogramme (ECG),échocardiographie"
Accidents vasculaires cérébraux,"engourdissement,faiblesse soudaine,confusion,maux de tête sévères","thérapie de revascularisation,médicaments anticoagulants","tomographie par ordinateur (TDM) du cerveau,imagerie par résonance magnétique (IRM)"
Cancer,"perte de poids inexpliquée,bosse anormale,fatigue persistante","chirurgie,chimiothérapie,radiothérapie","biopsie,imagerie médicale"
Diabète,"soif excessive,mictions fréquentes,fatigue,vision floue","insuline,médicaments hypoglycémiants","test de glycémie à jeun,test d'hémoglobine A1c"
Arthrite,"douleur articulaire,gonflement,raideur,fatigue","anti-inflammatoires,physiothérapie","analyse de sang,imagerie des articulations"
Maux de dos,"douleur dans le bas du dos,raideur musculaire,douleur irradiant vers les jambes","repos,physiothérapie,médicaments analgésiques","radiographie de la colonne vertébrale,IRM"
Dépression chronique,"tristesse persistante,perte d'intérêt,fatigue,troubles du sommeil","psychothérapie,antidépresseurs","entretien avec un professionnel de la santé mentale,questionnaires de dépistage"
Paludisme,"fièvre,frissons,maux de tête,fatigue","antipaludiques,repos",test de dépistage du paludisme
Bilharziose (Schistosomiase),"fièvre,toux,éruption cutanée,douleurs musculaires","antiparasitaires,antibiotiques",examen microscopique des selles ou de l'urine
Trypanosomiase africaine,"fièvre,fatigue,maux de tête,ganglions enflés","médicaments antiparasitaires,antibiotiques",test sanguin
Maladie de Chagas,"fièvre,fatigue,gonflement des paupières,troubles cardiaques","médicaments antiparasitaires,médicaments pour le cœur","test sanguin,électrocardiogramme (ECG)"
Leishmaniose (Kala Azar),"fièvre prolongée,perte de poids,anémie,enflure de la rate et du foie","médicaments antiparasitaires,traitement de support",aspiration de moelle osseuse
