Maladies,Symptomes,Traitement,Examens,Symptomes_lem_token,Symptomes_stem_token
lèpre,"lésions cutanées hypopigmentées ou érythémateuses,engourdissement,faiblesse musculaire,déformations des membres,douleurs nerveuses,perte de sourcils ou de cils,perte de la capacité à sentir la chaleur ou le froid,perte de sensation dans les membres","multithérapie antibactérienne,soins de la peau,réadaptation physique","biopsie de la peau,examen des nerfs,tests sanguins",lésion cutanée hypopigmentée érythémateuse engourdisse faiblesse musculaire déformation membre maux nerveuse perte sourcil cil capacité sentir chaleur froid sensation,lesion peau hypopigmente erythemateu engourdis faibles musculair deform membr maux nerveu pert sourcil cil capacit sentir chaleur froid sensat
tuberculose,"toux persistante,expectorations de sang,fatigue,fièvre,perte de poids inexpliquée,sueurs nocturnes,essoufflement,douleurs thoraciques,appétit réduit","antibiotiques (multithérapie),isolement,traitement directement observé (tdo)","radiographie thoracique,test cutané à la tuberculine,analyse de crachats",toux persistante expectoration sang fatigue fièvre perte poid inexpliquée sueur nocturne essouffle maux thoracique appétit réduit,toux persistant expector sang fatigu fievr pert poid inexplique sueur nocturn essouffl maux thoraciqu appetit reduit
sarcoïdose,"gonflement des ganglions lymphatiques,essoufflement,toux persistante,fatigue,douleurs articulaires,éruptions cutanées,fèces sanglantes ou glaireuses,troubles de la vision,douleurs thoraciques","corticoïdes,immunosuppresseurs,traitement symptomatique","radiographie thoracique,tomographie par émission de positrons (tep),biopsie",gonfle ganglion lymphatique essouffle toux persistante fatigue maux articulaire éruption cutanée fèce sanglante glaireuse trouble vision thoracique,gonfle ganglion lymphatiqu essouffl toux persistant fatigu maux articulair erupt peau fece sanglant glaireu troubl vision thoraciqu
amibiase,"diarrhée,douleurs abdominales,crampes abdominales,nausées,vomissements,fatigue,perte de poids,sèlles sanglantes ou glaireuses","antiparasitaires,antibiotiques,réhydratation","analyse de selles,imagerie médicale,tests sanguins",diarrhée maux ventre crampe nausée vomissement fatigue perte poid sèlle sanglante glaireuse,diarrhe maux ventre cramp nause vomis fatigu pert poid sell sanglant glaireu
giardiase,"diarrhée,flatulences,douleurs abdominales,nausées,perte d'appétit,fatigue,perte de poids,ballonnements","antiparasitaires,réhydratation,traitement symptomatique","analyse de selles,tests sanguins,imagerie médicale",diarrhée flatulence maux ventre nausée perte appétit fatigue poid ballonnement,diarrhe flatul maux ventre nause pert appetit fatigu poid ballonn
sida,"fatigue,fièvre,gonflement des ganglions lymphatiques,perte de poids inexpliquée,sueurs nocturnes,maux de tête,douleurs musculaires,maux de gorge,infections opportunistes,diarrhée persistante,toux prolongée,lésions cutanées,méningite,problèmes de mémoire et de concentration",traitement antirétroviral,"test de dépistage du vih,compte de lymphocytes cd4",fatigue fièvre gonfle ganglion lymphatique perte poid inexpliquée sueur nocturne maux tête maux musculaire gorge infection opportuniste diarrhée persistante toux prolongée lésion cutanée méningite problème mémoire concentration,fatigu fievr gonfle ganglion lymphatiqu pert poid inexplique sueur nocturn maux tete maux musculair gorg infect opportunist diarrhe persistant toux prolonge lesion peau meningit problem memoir concentr
syphilis,"chancre indolore (ulcération),éruption cutanée sur la peau, y compris les paumes et les plantes des pieds,ganglions lymphatiques enflés,fatigue,fièvre,maux de tête,douleurs musculaires,perte de poids inexpliquée,saisons de fièvre, sueurs nocturnes et fatigue (stades avancés)","pénicilline,doxycycline","test de la syphilis,examen au microscope",chancre indolore ulcération éruption cutanée peau compri paume plante pied ganglion lymphatique enflé fatigue fièvre maux tête maux musculaire perte poid inexpliquée saison sueur nocturne stade avancé,chancr indolor ulcer erupt peau compri paum plant pie ganglion lymphatiqu enfl fatigu fievr maux tete maux musculair pert poid inexplique saison sueur nocturn stade avanc
chlamydia,"douleur ou brûlure pendant la miction,écoulement anormal du pénis ou du vagin,douleur abdominale basse,douleurs pendant les rapports sexuels,saignements entre les règles,douleurs testiculaires,inflammation cervicale","azithromycine,doxycycline","test de dépistage de la chlamydia,culture cellulaire",maux brûlure miction écoule anormaux péni vagin ventre basse maux rapport sexuel saignement entre règle testiculaire inflammation cervicale,maux brulur miction ecoul anorm peni vagin ventre bas rapport sexuel saigne entr regl testiculair inflamm cervical
gonorrhée,"écoulement épais et jaune du pénis ou du vagin,douleur ou brûlure pendant la miction,douleurs abdominales basses,douleurs pendant les rapports sexuels,saignements entre les règles,gorge irritée","céfixime,azithromycine","test de dépistage de la gonorrhée,culture cellulaire",écoule épai jaune péni vagin maux brûlure miction maux ventre bas rapport sexuel saignement entre règle gorge irritée,ecoul epai jaun peni vagin maux brulur miction ventre bas rapport sexuel saigne entr regl gorg irrite
herpès génital,"lésions génitales,démangeaisons,douleur en urinant,vésicules douloureuses sur les organes génitaux ou autour de l'anus,démangeaisons,sensation de brûlure pendant la miction,douleurs pendant les rapports sexuels,gonflement des ganglions lymphatiques","antiviraux,médicaments symptomatiques","test de l'herpès,examen clinique",lésion génitale démangeaison maux urinant vésicule douloureuse organe génitaux autour anu sensation brûlure miction maux rapport sexuel gonfle ganglion lymphatique,lesion genital demangeaison maux urin vesicul douloureu organ genitaux autour anu sensat brulur miction rapport sexuel gonfle ganglion lymphatiqu
condylomes génitaux (hpv),"verrues génitales,démangeaisons,saignements pendant les rapports sexuels","crèmes antivirales,ablation des verrues","test hpv,examen visuel",verrue génitale démangeaison saignement rapport sexuel,verru genital demangeaison saigne rapport sexuel
hépatite b,"fatigue,jaunisse,douleurs abdominales,perte d'appétit,nausées et vomissements,urine foncée,fièvre,selles décolorées,douleurs articulaires,irritation cutanée","antiviraux,vaccination (pour l'hépatite b)","test d'hépatite,échographie hépatique",fatigue jaunisse maux ventre perte appétit nausée vomissement urine foncée fièvre selle décolorée articulaire irritation cutanée,fatigu jaunis maux ventre pert appetit nause vomis urin fonce fievr sell decolore articulair irrit peau
hépatite c,"fatigue,jaunisse,douleurs abdominales,perte d'appétit,nausées et vomissements,urine foncée,fièvre,selles décolorées,douleurs musculaires et articulaires,irritation cutanée","antiviraux,vaccination (pour l'hépatite b)","test d'hépatite,échographie hépatique",fatigue jaunisse maux ventre perte appétit nausée vomissement urine foncée fièvre selle décolorée musculaire articulaire irritation cutanée,fatigu jaunis maux ventre pert appetit nause vomis urin fonce fievr sell decolore musculair articulair irrit peau
trichomonase,"démangeaisons,écoulement génital,douleur en urinant,écoulement vaginal vert ou jaune-vert,démangeaisons ou irritation vaginal,douleur pendant les rapports sexuels,douleur pendant la miction,gonflement des organes génitaux externes","métronidazole,tinidazole","test de dépistage de la trichomonase,examen microscopique",démangeaison écoule génital maux urinant vaginal vert jaune irritation rapport sexuel miction gonfle organe génitaux externe,demangeaison ecoul genit maux urin vagin vert jaun irrit rapport sexuel miction gonfle organ genitaux extern
molluscum contagiosum,"lésions cutanées,démangeaisons,petites bosses ou nodules sur la peau,aspect perlé ou lisse des lésions,inflammation des lésions","ablation des lésions,médicaments antiviraux","examen visuel,biopsie (dans certains cas)",lésion cutanée démangeaison petite bos nodule peau aspect perlé lisse inflammation,lesion peau demangeaison petit bos nodul aspect perl lis inflamm
mycoplasmose génitale,"douleur ou brûlure pendant la miction,écoulement génital anormal,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements entre les règles,inflammation cervicale,douleur abdominale basse,fièvre,fatigue","azithromycine,doxycycline","test de dépistage de la mycoplasmose,culture cellulaire",maux brûlure miction écoule génital anormaux pelvienne rapport sexuel irritation génitale saignement entre règle inflammation cervicale ventre basse fièvre fatigue,maux brulur miction ecoul genit anorm pelvienn rapport sexuel irrit genital saigne entr regl inflamm cervical ventre bas fievr fatigu
ureaplasmose,"douleur ou brûlure pendant la miction,écoulement anormal du vagin ou de l'urètre,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements inhabituels,douleur ou inflammation articulaire,fièvre,fatigue,sensibilité abdominale","azithromycine,doxycycline","test de dépistage de l'ureaplasmose,culture cellulaire",maux brûlure miction écoule anormaux vagin urètre pelvienne rapport sexuel irritation génitale saignement inhabituel inflammation articulaire fièvre fatigue sensibilité ventre e,maux brulur miction ecoul anorm vagin uretr pelvienn rapport sexuel irrit genital saigne inhabituel inflamm articulair fievr fatigu sensibilit ventre
chancre mou (ulcère molle),"ulcération génitale indolore,ganglions lymphatiques enflés,fièvre,douleurs musculaires,maux de tête,fatigue,éruptions cutanées","azithromycine,céfixime","test de dépistage du chancre mou,examen microscopique",ulcération génitale indolore ganglion lymphatique enflé fièvre maux musculaire maux tête fatigue éruption cutanée,ulcer genital indolor ganglion lymphatiqu enfl fievr maux musculair maux tete fatigu erupt peau
granulome inguinal (donovanose),"ulcération génitale indolore,ganglions lymphatiques enflés,douleur pendant les rapports sexuels,saignements pendant les rapports sexuels,éruptions cutanées,nodules ou bosses génitales","doxycycline,azithromycine","test de dépistage de la donovanose,examen microscopique",ulcération génitale indolore ganglion lymphatique enflé maux rapport sexuel saignement éruption cutanée nodule bos génitale,ulcer genital indolor ganglion lymphatiqu enfl maux rapport sexuel saigne erupt peau nodul bos
lymphogranulomatose vénérienne (lgv),"petite lésion ou ulcération génitale,ganglions lymphatiques enflés dans l'aine,douleur pendant les rapports sexuels,saignements pendant les rapports sexuels,douleur abdominale basse,fièvre,fatigue","doxycycline,azithromycine","test de dépistage de la lgv,culture cellulaire",petite lésion ulcération génitale ganglion lymphatique enflé aine maux rapport sexuel saignement ventre basse fièvre fatigue,petit lesion ulcer genital ganglion lymphatiqu enfl ain maux rapport sexuel saigne ventre bas fievr fatigu
mycobacterium avium complex (mac),"fièvre,sueurs nocturnes,fatigue,perte de poids,diarrhée persistante,douleurs abdominales,infections opportunistes","antibiotiques,traitement symptomatique","test de dépistage du mac,imagerie médicale",fièvre sueur nocturne fatigue perte poid diarrhée persistante maux ventre infection opportuniste,fievr sueur nocturn fatigu pert poid diarrhe persistant maux ventre infect opportunist
infections à clamidies non génitales,"infections oculaires (conjonctivite),infections respiratoires,douleurs articulaires,frissons,fièvre,maillons","azithromycine,doxycycline","test de dépistage des infections à chlamydia,culture cellulaire",infection oculaire conjonctivite respiratoire maux articulaire frisson fièvre maillon,infect oculair conjonctivit respiratoir maux articulair frisson fievr maillon
tréponématose non vénérienne,"lésions cutanées (chancre),ganglions lymphatiques enflés,fièvre,fatigue,maux de tête,douleurs musculaires,éruptions cutanées","pénicilline,doxycycline","test de dépistage de la tréponématose non vénérienne,examen microscopique",lésion cutanée chancre ganglion lymphatique enflé fièvre fatigue maux tête maux musculaire éruption,lesion peau chancr ganglion lymphatiqu enfl fievr fatigu maux tete maux musculair erupt
diabète de type 2,"polyurie (urination fréquente),soif excessive,faim excessive,fatigue,vision floue,cicatrisation lente des plaies,engourdissement ou picotements dans les pieds ou les mains,infections fréquentes","médicaments hypoglycémiants,régime alimentaire,exercice physique","glycémie à jeun,hémoglobine a1c",polyurie urination fréquente soif excessive faim fatigue vision floue cicatrisation lente play engourdisse picotement pied main infection fréquente,polyuri urin frequent soif exces faim fatigu vision floue cicatri lent plai engourdis picot pie main infect
hypertension artérielle,"maux de tête fréquents,vertiges,essoufflement,fatigue,vision floue,saignements de nez fréquents,battements cardiaques irréguliers,étourdissements","antihypertenseurs,changement de mode de vie","mesure de la pression artérielle,analyse d'urine",maux tête fréquent vertige essouffle fatigue vision floue saignement nez battement cardiaque irrégulier étourdissement,maux tete frequent vertig essouffl fatigu vision floue saigne nez batte cardiaqu irreguli etourdis
cancer du sein,"nodule ou masse dans le sein ou l'aisselle,changement de taille ou de forme du sein,douleur au sein ou au mamelon,écoulement du mamelon (autre que le lait maternel),peau du sein rouge, épaissie ou présentant des écailles,changements dans l'apparence du mamelon ou de l'aréole","chirurgie,chimiothérapie,radiothérapie","mammographie,biopsie",nodule masse sein aisselle change taille forme maux mamelon écoule autre lait maternel peau rouge épaissie présentant écaille changement apparence aréole,nodul mas sein aissel change taill form maux mamelon ecoul autr lait maternel peau roug epaissi present ecail appar areol
glaucome,"vision floue ou réduite,vision des halos autour des lumières,maux de tête,nausées ou vomissements,œil rouge,perte de vision latérale (vision périphérique)","collyres,chirurgie au laser,chirurgie traditionnelle","mesure de la pression intraoculaire,examen du champ visuel,gonioscopie",vision floue réduite halo autour lumière maux tête nausée vomissement œil rouge perte latérale périphérique,vision floue reduit halo autour lumier maux tete nause vomis oeil roug pert lateral peripheriqu
leucémie,"fatigue intense,perte de poids inexpliquée,fièvre persistante ou fréquente,infections fréquentes,saignements ou ecchymoses faciles,ganglions lymphatiques enflés,douleurs osseuses ou articulaires,anémie","chimiothérapie,greffe de moelle osseuse,thérapie ciblée","analyse de sang (numération sanguine complète),biopsie de la moelle osseuse,imagerie médicale",fatigue intense perte poid inexpliquée fièvre persistante fréquente infection fréquente saignement ecchymosi facile ganglion lymphatique enflé maux osseuse articulaire anémie,fatigu inten pert poid inexplique fievr persistant frequent infect saigne ecchymo facil ganglion lymphatiqu enfl maux osseu articulair anemi
maladie de crohn,"diarrhée fréquente,douleurs abdominales,perte de poids inexpliquée,fatigue,fièvre,saignements rectaux,inflammation des articulations,ulcérations buccales","anti-inflammatoires,immunosuppresseurs,chirurgie","endoscopie,coloscopie,imagerie par résonance magnétique (irm)",diarrhée fréquente maux ventre perte poid inexpliquée fatigue fièvre saignement rectaux inflammation articulation ulcération buccale,diarrhe frequent maux ventre pert poid inexplique fatigu fievr saigne rectaux inflamm articul ulcer buccal
maladie d'alzheimer,"perte de mémoire,difficulté à se rappeler des informations récentes,confusion mentale,difficulté à effectuer des tâches familières,changements de personnalité,difficulté à trouver des mots,problèmes de jugement","médicaments antidémence,thérapie occupationnelle,soutien psychologique","évaluation cognitive,imagerie cérébrale,analyses de sang",perte mémoire difficulté rappeler information récente confusion mentale effectuer tâche familière changement personnalité trouver mot problème juge,pert memoir difficult rappel inform recent confu mental effectu tach familier change personnalit trouver mot problem juge
maladie de parkinson,"tremblements au repos,raideur musculaire,lenteur des mouvements,difficulté à commencer ou à arrêter un mouvement,problèmes d'équilibre,changements de l'expression faciale (masque parkinsonien)","médicaments dopaminergiques,thérapie physique,chirurgie cérébrale profonde","examen neurologique,imagerie cérébrale,tests sanguins",tremblement repo raideur musculaire lenteur mouvement difficulté commencer arrêter mouve problème équilibre changement expression faciale masque parkinsonien,tremble repo raideur musculair lenteur mouve difficult commenc arret problem equilibr change expres facial masqu parkinsonien
asthme,"essoufflement,toux fréquente, en particulier la nuit,sifflements ou respiration sifflante,sensation de serrement dans la poitrine,fatigue due à un effort physique","inhalateurs de corticostéroïdes,bronchodilatateurs,thérapie respiratoire","spirométrie,tests d'allergie,radiographie thoracique",essouffle toux fréquente particulier nuit sifflement respiration sifflante sensation serre poitrine fatigue due effort physique,essouffl toux frequent particuli nuit siffle respir sifflant sensat serre poitrin fatigu due effort physiqu
maladie cœliaque,"diarrhée chronique,douleurs abdominales,ballonnements,fatigue,perte de poids inexpliquée,anémie,irritabilité","régime sans gluten,suppléments nutritionnels,médicaments symptomatiques","analyse de sang (anticorps),biopsie de l'intestin grêle,tests génétiques",diarrhée chronique maux ventre ballonnement fatigue perte poid inexpliquée anémie irritabilité,diarrhe chroniqu maux ventre ballonn fatigu pert poid inexplique anemi irritabilit
fibromyalgie,"douleurs musculaires diffuses,fatigue généralisée,troubles du sommeil,raideur matinale,problèmes de concentration (brouillard cérébral),maux de tête","médicaments analgésiques,thérapie physique,thérapie cognitivo-comportementale","aucun test spécifique,diagnostic basé sur les symptômes",maux musculaire diffuse fatigue généralisée trouble sommeil raideur matinale problème concentration brouillard cérébral maux tête,maux musculair diffu fatigu generalise troubl sommeil raideur matinal problem concentr brouillard cerebr maux tete
arthrite rhumatoïde,"douleurs articulaires,raideur articulaire,enflure des articulations,fatigue,fièvre,perte d'appétit,nodules sous la peau","médicaments anti-inflammatoires,thérapie physique,médicaments antirhumatismaux","analyse de sang (facteur rhumatoïde),radiographie articulaire,échographie articulaire",maux articulaire raideur articulaire enflure articulation fatigue fièvre perte appétit nodule sou peau,maux articulair raideur enflur articul fatigu fievr pert appetit nodul sou peau
maladie cardiaque coronarienne,"douleur thoracique ou inconfort (angine de poitrine),essoufflement,fatigue,nausées,sueur excessive,douleur ou engourdissement dans les bras, le cou, la mâchoire ou le dos","médicaments anti-angineux,angioplastie coronarienne,bypass coronarien","électrocardiogramme (ecg),échocardiographie,cathétérisme cardiaque",maux thoracique inconfort angine poitrine essouffle fatigue nausée sueur excessive engourdisse bra cou mâchoire do,maux thoraciqu inconfort angin poitrin essouffl fatigu nause sueur exces engourdis bra cou machoir do
sclérose en plaques,"fatigue,problèmes de vision,engourdissements ou picotements,faiblesse musculaire,difficulté à coordonner les mouvements,troubles de la mémoire et de la concentration","médicaments immunomodulateurs,thérapie physique,médicaments symptomatiques","irm cérébrale et médullaire,ponction lombaire,électromyographie (emg)",fatigue problème vision engourdissement picotement faiblesse musculaire difficulté coordonner mouvement trouble mémoire concentration,fatigu problem vision engourdis picot faibles musculair difficult coordonn mouve troubl memoir concentr
tumeur du cerveau,"maux de tête persistants,nausées et vomissements,convulsions,changements dans la vision,problèmes d'équilibre et de coordination,changements de personnalité ou d'humeur,confusion ou désorientation,problèmes de mémoire,engourdissement ou faiblesse dans les bras ou les jambes,troubles du sommeil,difficultés d'élocution,vision floue ou double,changements dans la sensation ou le mouvement d'une partie du corps","chirurgie,radiothérapie,chimiothérapie","imagerie cérébrale (irm et scanner),biopsie,analyse sanguine",maux tête persistant nausée vomissement convulsion changement vision problème équilibre coordination personnalité humeur confusion désorientation mémoire engourdisse faiblesse bra jambe trouble sommeil difficulté élocution floue double sensation mouve partie corp,maux tete persist nause vomis convul change vision problem equilibr coordin personnalit humeur confu desorient memoir engourdis faibles bra jamb troubl sommeil difficult elocut floue doubl sensat mouve parti corp
cancer du col utérin,"saignements vaginaux anormaux,douleur pendant les rapports sexuels,douleur pelvienne,fatigue,perte de poids inexpliquée,écoulement vaginal anormal","chirurgie,radiothérapie,chimiothérapie","frottis cervico-utérin,colposcopie,biopsie",saignement vaginaux anormaux maux rapport sexuel pelvienne fatigue perte poid inexpliquée écoule vaginal anormaux,saigne vaginaux anormaux maux rapport sexuel pelvienn fatigu pert poid inexplique ecoul vagin anorm
cancer colorectal,"changements dans les habitudes intestinales,sang dans les selles,douleur abdominale,fatigue,perte de poids inexpliquée,anémie","chirurgie,chimiothérapie,radiothérapie","coloscopie,sigmoïdoscopie,analyses de sang",changement habitude intestinale sang selle maux ventre fatigue perte poid inexpliquée anémie,change habitud intestinal sang sell maux ventre fatigu pert poid inexplique anemi
cancer de l'endomètre,"saignements vaginaux anormaux,douleur pelvienne,douleur pendant les rapports sexuels,fatigue,perte de poids inexpliquée","chirurgie,radiothérapie,hormonothérapie","biopsie de l'endomètre,échographie pelvienne,imagerie médicale",saignement vaginaux anormaux maux pelvienne rapport sexuel fatigue perte poid inexpliquée,saigne vaginaux anormaux maux pelvienn rapport sexuel fatigu pert poid inexplique
cancer de l'estomac,"douleur abdominale,sensation de plénitude après un repas,perte d'appétit,perte de poids inexpliquée,difficulté à avaler","chirurgie,chimiothérapie,radiothérapie","endoscopie gastrique,biopsie,imagerie médicale",maux ventre sensation plénitude aprè repa perte appétit poid inexpliquée difficulté avaler,maux ventre sensat plenitud apr repa pert appetit poid inexplique difficult aval
cancer du foie,"douleur abdominale,gonflement de l'abdomen,jaunissement de la peau et des yeux (ictère),perte de poids inexpliquée,fatigue","chirurgie,transplantation hépatique,chimioembolisation","échographie abdominale,irm du foie,biopsie hépatique",maux ventre gonfle jaunisse peau yeux ictère perte poid inexpliquée fatigue,maux ventre gonfle jaunis peau yeux icter pert poid inexplique fatigu
