Maladies,Symptomes,Traitement,Examens
cryptosporidiose,"diarrhée aqueuse,douleurs abdominales,fièvre,nausées,vomissements,perte de poids,fatigue,douleurs musculaires,maillons,déshydratation","réhydratation,antiparasitaires,traitement symptomatique","analyse de selles,tests sanguins,endoscopie en cas de symptômes graves"
leishmaniose,"lésions cutanées (ulcères) sur la peau,fièvre,fatigue,perte de poids,gonflement des ganglions lymphatiques,anémie,douleurs musculaires,douleurs articulaires,sensations de brûlure,sensations de picotement","antiparasitaires,antibiotiques,soins de la plaie","analyse de tissu prélevé de l'ulcère,tests sanguins,imagerie médicale"
lèpre,"lésions cutanées hypopigmentées ou érythémateuses,engourdissement,faiblesse musculaire,déformations des membres,douleurs nerveuses,perte de sourcils ou de cils,perte de la capacité à sentir la chaleur ou le froid,perte de sensation dans les membres","multithérapie antibactérienne,soins de la peau,réadaptation physique","biopsie de la peau,examen des nerfs,tests sanguins"
tuberculose,"toux persistante,expectorations de sang,fatigue,fièvre,perte de poids inexpliquée,sueurs nocturnes,essoufflement,douleurs thoraciques,appétit réduit","antibiotiques (multithérapie),isolement,traitement directement observé (tdo)","radiographie thoracique,test cutané à la tuberculine,analyse de crachats"
sarcoïdose,"gonflement des ganglions lymphatiques,essoufflement,toux persistante,fatigue,douleurs articulaires,éruptions cutanées,fèces sanglantes ou glaireuses,troubles de la vision,douleurs thoraciques","corticoïdes,immunosuppresseurs,traitement symptomatique","radiographie thoracique,tomographie par émission de positrons (tep),biopsie"
amibiase,"diarrhée,douleurs abdominales,crampes abdominales,nausées,vomissements,fatigue,perte de poids,sèlles sanglantes ou glaireuses","antiparasitaires,antibiotiques,réhydratation","analyse de selles,imagerie médicale,tests sanguins"
giardiase,"diarrhée,flatulences,douleurs abdominales,nausées,perte d'appétit,fatigue,perte de poids,ballonnements","antiparasitaires,réhydratation,traitement symptomatique","analyse de selles,tests sanguins,imagerie médicale"
sida,"fatigue,fièvre,gonflement des ganglions lymphatiques,perte de poids inexpliquée,sueurs nocturnes,maux de tête,douleurs musculaires,maux de gorge,infections opportunistes,diarrhée persistante,toux prolongée,lésions cutanées,méningite,problèmes de mémoire et de concentration",traitement antirétroviral,"test de dépistage du vih,compte de lymphocytes cd4"
syphilis,"chancre indolore (ulcération),éruption cutanée sur la peau, y compris les paumes et les plantes des pieds,ganglions lymphatiques enflés,fatigue,fièvre,maux de tête,douleurs musculaires,perte de poids inexpliquée,saisons de fièvre, sueurs nocturnes et fatigue (stades avancés)","pénicilline,doxycycline","test de la syphilis,examen au microscope"
chlamydia,"douleur ou brûlure pendant la miction,écoulement anormal du pénis ou du vagin,douleur abdominale basse,douleurs pendant les rapports sexuels,saignements entre les règles,douleurs testiculaires,inflammation cervicale","azithromycine,doxycycline","test de dépistage de la chlamydia,culture cellulaire"
gonorrhée,"écoulement épais et jaune du pénis ou du vagin,douleur ou brûlure pendant la miction,douleurs abdominales basses,douleurs pendant les rapports sexuels,saignements entre les règles,gorge irritée","céfixime,azithromycine","test de dépistage de la gonorrhée,culture cellulaire"
herpès génital,"lésions génitales,démangeaisons,douleur en urinant,vésicules douloureuses sur les organes génitaux ou autour de l'anus,démangeaisons,sensation de brûlure pendant la miction,douleurs pendant les rapports sexuels,gonflement des ganglions lymphatiques","antiviraux,médicaments symptomatiques","test de l'herpès,examen clinique"
condylomes génitaux (hpv),"verrues génitales,démangeaisons,saignements pendant les rapports sexuels","crèmes antivirales,ablation des verrues","test hpv,examen visuel"
hépatite b,"fatigue,jaunisse,douleurs abdominales,perte d'appétit,nausées et vomissements,urine foncée,fièvre,selles décolorées,douleurs articulaires,irritation cutanée","antiviraux,vaccination (pour l'hépatite b)","test d'hépatite,échographie hépatique"
hépatite c,"fatigue,jaunisse,douleurs abdominales,perte d'appétit,nausées et vomissements,urine foncée,fièvre,selles décolorées,douleurs musculaires et articulaires,irritation cutanée","antiviraux,vaccination (pour l'hépatite b)","test d'hépatite,échographie hépatique"
trichomonase,"démangeaisons,écoulement génital,douleur en urinant,écoulement vaginal vert ou jaune-vert,démangeaisons ou irritation vaginal,douleur pendant les rapports sexuels,douleur pendant la miction,gonflement des organes génitaux externes","métronidazole,tinidazole","test de dépistage de la trichomonase,examen microscopique"
molluscum contagiosum,"lésions cutanées,démangeaisons,petites bosses ou nodules sur la peau,aspect perlé ou lisse des lésions,inflammation des lésions","ablation des lésions,médicaments antiviraux","examen visuel,biopsie (dans certains cas)"
mycoplasmose génitale,"douleur ou brûlure pendant la miction,écoulement génital anormal,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements entre les règles,inflammation cervicale,douleur abdominale basse,fièvre,fatigue","azithromycine,doxycycline","test de dépistage de la mycoplasmose,culture cellulaire"
ureaplasmose,"douleur ou brûlure pendant la miction,écoulement anormal du vagin ou de l'urètre,douleur pelvienne,douleur pendant les rapports sexuels,irritation génitale,saignements inhabituels,douleur ou inflammation articulaire,fièvre,fatigue,sensibilité abdominale","azithromycine,doxycycline","test de dépistage de l'ureaplasmose,culture cellulaire"
chancre mou (ulcère molle),"ulcération génitale indolore,ganglions lymphatiques enflés,fièvre,douleurs musculaires,maux de tête,fatigue,éruptions cutanées","azithromycine,céfixime","test de dépistage du chancre mou,examen microscopique"
granulome inguinal (donovanose),"ulcération génitale indolore,ganglions lymphatiques enflés,douleur pendant les rapports sexuels,saignements pendant les rapports sexuels,éruptions cutanées,nodules ou bosses génitales","doxycycline,azithromycine","test de dépistage de la donovanose,examen microscopique"
lymphogranulomatose vénérienne (lgv),"petite lésion ou ulcération génitale,ganglions lymphatiques enflés dans l'aine,douleur pendant les rapports sexuels,saignements pendant les rapports sexuels,douleur abdominale basse,fièvre,fatigue","doxycycline,azithromycine","test de dépistage de la lgv,culture cellulaire"
mycobacterium avium complex (mac),"fièvre,sueurs nocturnes,fatigue,perte de poids,diarrhée persistante,douleurs abdominales,infections opportunistes","antibiotiques,traitement symptomatique","test de dépistage du mac,imagerie médicale"
infections à clamidies non génitales,"infections oculaires (conjonctivite),infections respiratoires,douleurs articulaires,frissons,fièvre,maillons","azithromycine,doxycycline","test de dépistage des infections à chlamydia,culture cellulaire"
tréponématose non vénérienne,"lésions cutanées (chancre),ganglions lymphatiques enflés,fièvre,fatigue,maux de tête,douleurs musculaires,éruptions cutanées","pénicilline,doxycycline","test de dépistage de la tréponématose non vénérienne,examen microscopique"
diabète de type 2,"polyurie (urination fréquente),soif excessive,faim excessive,fatigue,vision floue,cicatrisation lente des plaies,engourdissement ou picotements dans les pieds ou les mains,infections fréquentes","médicaments hypoglycémiants,régime alimentaire,exercice physique","glycémie à jeun,hémoglobine a1c"
hypertension artérielle,"maux de tête fréquents,vertiges,essoufflement,fatigue,vision floue,saignements de nez fréquents,battements cardiaques irréguliers,étourdissements","antihypertenseurs,changement de mode de vie","mesure de la pression artérielle,analyse d'urine"
cancer du sein,"nodule ou masse dans le sein ou l'aisselle,changement de taille ou de forme du sein,douleur au sein ou au mamelon,écoulement du mamelon (autre que le lait maternel),peau du sein rouge, épaissie ou présentant des écailles,changements dans l'apparence du mamelon ou de l'aréole","chirurgie,chimiothérapie,radiothérapie","mammographie,biopsie"
glaucome,"vision floue ou réduite,vision des halos autour des lumières,maux de tête,nausées ou vomissements,œil rouge,perte de vision latérale (vision périphérique)","collyres,chirurgie au laser,chirurgie traditionnelle","mesure de la pression intraoculaire,examen du champ visuel,gonioscopie"
leucémie,"fatigue intense,perte de poids inexpliquée,fièvre persistante ou fréquente,infections fréquentes,saignements ou ecchymoses faciles,ganglions lymphatiques enflés,douleurs osseuses ou articulaires,anémie","chimiothérapie,greffe de moelle osseuse,thérapie ciblée","analyse de sang (numération sanguine complète),biopsie de la moelle osseuse,imagerie médicale"
maladie de crohn,"diarrhée fréquente,douleurs abdominales,perte de poids inexpliquée,fatigue,fièvre,saignements rectaux,inflammation des articulations,ulcérations buccales","anti-inflammatoires,immunosuppresseurs,chirurgie","endoscopie,coloscopie,imagerie par résonance magnétique (irm)"
maladie d'alzheimer,"perte de mémoire,difficulté à se rappeler des informations récentes,confusion mentale,difficulté à effectuer des tâches familières,changements de personnalité,difficulté à trouver des mots,problèmes de jugement","médicaments antidémence,thérapie occupationnelle,soutien psychologique","évaluation cognitive,imagerie cérébrale,analyses de sang"
maladie de parkinson,"tremblements au repos,raideur musculaire,lenteur des mouvements,difficulté à commencer ou à arrêter un mouvement,problèmes d'équilibre,changements de l'expression faciale (masque parkinsonien)","médicaments dopaminergiques,thérapie physique,chirurgie cérébrale profonde","examen neurologique,imagerie cérébrale,tests sanguins"
asthme,"essoufflement,toux fréquente, en particulier la nuit,sifflements ou respiration sifflante,sensation de serrement dans la poitrine,fatigue due à un effort physique","inhalateurs de corticostéroïdes,bronchodilatateurs,thérapie respiratoire","spirométrie,tests d'allergie,radiographie thoracique"
maladie cœliaque,"diarrhée chronique,douleurs abdominales,ballonnements,fatigue,perte de poids inexpliquée,anémie,irritabilité","régime sans gluten,suppléments nutritionnels,médicaments symptomatiques","analyse de sang (anticorps),biopsie de l'intestin grêle,tests génétiques"
fibromyalgie,"douleurs musculaires diffuses,fatigue généralisée,troubles du sommeil,raideur matinale,problèmes de concentration (brouillard cérébral),maux de tête","médicaments analgésiques,thérapie physique,thérapie cognitivo-comportementale","aucun test spécifique,diagnostic basé sur les symptômes"
arthrite rhumatoïde,"douleurs articulaires,raideur articulaire,enflure des articulations,fatigue,fièvre,perte d'appétit,nodules sous la peau","médicaments anti-inflammatoires,thérapie physique,médicaments antirhumatismaux","analyse de sang (facteur rhumatoïde),radiographie articulaire,échographie articulaire"
maladie cardiaque coronarienne,"douleur thoracique ou inconfort (angine de poitrine),essoufflement,fatigue,nausées,sueur excessive,douleur ou engourdissement dans les bras, le cou, la mâchoire ou le dos","médicaments anti-angineux,angioplastie coronarienne,bypass coronarien","électrocardiogramme (ecg),échocardiographie,cathétérisme cardiaque"
sclérose en plaques,"fatigue,problèmes de vision,engourdissements ou picotements,faiblesse musculaire,difficulté à coordonner les mouvements,troubles de la mémoire et de la concentration","médicaments immunomodulateurs,thérapie physique,médicaments symptomatiques","irm cérébrale et médullaire,ponction lombaire,électromyographie (emg)"
tumeur du cerveau,"maux de tête persistants,nausées et vomissements,convulsions,changements dans la vision,problèmes d'équilibre et de coordination,changements de personnalité ou d'humeur,confusion ou désorientation,problèmes de mémoire,engourdissement ou faiblesse dans les bras ou les jambes,troubles du sommeil,difficultés d'élocution,vision floue ou double,changements dans la sensation ou le mouvement d'une partie du corps","chirurgie,radiothérapie,chimiothérapie","imagerie cérébrale (irm et scanner),biopsie,analyse sanguine"
cancer du col utérin,"saignements vaginaux anormaux,douleur pendant les rapports sexuels,douleur pelvienne,fatigue,perte de poids inexpliquée,écoulement vaginal anormal","chirurgie,radiothérapie,chimiothérapie","frottis cervico-utérin,colposcopie,biopsie"
cancer colorectal,"changements dans les habitudes intestinales,sang dans les selles,douleur abdominale,fatigue,perte de poids inexpliquée,anémie","chirurgie,chimiothérapie,radiothérapie","coloscopie,sigmoïdoscopie,analyses de sang"
cancer de l'endomètre,"saignements vaginaux anormaux,douleur pelvienne,douleur pendant les rapports sexuels,fatigue,perte de poids inexpliquée","chirurgie,radiothérapie,hormonothérapie","biopsie de l'endomètre,échographie pelvienne,imagerie médicale"
cancer de l'estomac,"douleur abdominale,sensation de plénitude après un repas,perte d'appétit,perte de poids inexpliquée,difficulté à avaler","chirurgie,chimiothérapie,radiothérapie","endoscopie gastrique,biopsie,imagerie médicale"
cancer du foie,"douleur abdominale,gonflement de l'abdomen,jaunissement de la peau et des yeux (ictère),perte de poids inexpliquée,fatigue","chirurgie,transplantation hépatique,chimioembolisation","échographie abdominale,irm du foie,biopsie hépatique"
tumeur stromale gastro-intestinale,"douleur abdominale ou inconfort,saignements gastro-intestinaux,anémie,fatigue,sensation de plénitude ou de satiété précoce","chirurgie,thérapie ciblée,chimiothérapie","endoscopie gastro-intestinale,biopsie,imagerie médicale"
lymphomes,"gonflement indolore des ganglions lymphatiques (notamment au cou et aux aisselles ou à l'aine),fatigue,fièvre inexpliquée,perte de poids inexpliquée,sudation nocturne excessive","chimiothérapie,immunothérapie,radiothérapie","biopsie d'un ganglion lymphatique,scanner,irm"
carcinome hépatocellulaire,"douleur abdominale,gonflement de l'abdomen,perte de poids inexpliquée,fatigue,jaunissement de la peau et des yeux (ictère)","chirurgie,radiofréquence,greffe de foie","échographie du foie,scanner,irm"
sarcome de kaposi,"lésions cutanées violettes, rouges ou brunes,gonflement des jambes ou des pieds,douleurs dans les jambes,essoufflement","thérapie antirétrovirale,chirurgie,radiothérapie","biopsie cutanée,analyse sanguine,imagerie médicale"
cancer du larynx,"enrouement persistant,changement dans la voix,douleur à la gorge ou à l'oreille,difficulté à avaler","chirurgie,radiothérapie,chimiothérapie","laryngoscopie,biopsie,imagerie médicale"
mésothéliome,"essoufflement,douleur thoracique,toux persistante,perte de poids inexpliquée,fatigue","chirurgie,chimiothérapie,thérapie ciblée","scanner thoracique,biopsie,imagerie médicale"
cancer de l'œsophage,"difficulté à avaler (dysphagie),douleur ou sensation de brûlure derrière le sternum,perte de poids inexpliquée,toux persistante","chirurgie,chimiothérapie,radiothérapie","endoscopie digestive haute,biopsie,imagerie médicale"
ostéosarcome,"douleur osseuse, généralement dans les bras ou les jambes,gonflement autour des os affectés,fractures osseuses fréquentes,masse palpable sur les os,fractures spontanées","chirurgie,chimiothérapie,radiothérapie","radiographie,irm,biopsie"
cancer de l'ovaire,"gonflement abdominal,douleur pelvienne ou abdominale,besoin fréquent d'uriner,sensation de satiété rapide en mangeant","chirurgie,chimiothérapie,hormonothérapie","échographie pelvienne,tomographie par émission de positons (tep),biopsie"
cancer du pancréas,"douleur abdominale ou lombaire,perte de poids inexpliquée,jaunissement de la peau et des yeux (ictère),perte d'appétit","chirurgie,chimiothérapie,radiothérapie","scanner abdominal,irm,biopsie"
cancer de la peau,"changements dans la taille, la forme ou la couleur des grains de beauté ou des lésions cutanées,saignements ou démangeaisons persistantes,douleur,croissance rapide","chirurgie,radiothérapie,chimiothérapie","biopsie de la peau,dermatoscopie,imagerie médicale"
cancer de la bouche,"lésions buccales persistantes,difficulté à mâcher ou à avaler,douleur à l'oreille,masse ou enflure dans la bouche ou le cou","chirurgie,radiothérapie,chimiothérapie","examen buccal,biopsie,imagerie médicale"
carcinome pulmonaire à petites cellules (cancer du poumon),"toux persistante,essoufflement,douleur thoracique,perte de poids inexpliquée,toux avec du sang","chirurgie,chimiothérapie,radiothérapie","scanner thoracique,biopsie pulmonaire,tomographie par émission de positons (tep)"
cancer de la prostate,"besoin fréquent d'uriner,douleur ou sensation de brûlure pendant la miction,flux urinaire faible ou interrompu,sang dans l'urine ou le sperme,douleur dans le dos, les hanches ou le bassin","chirurgie,radiothérapie,hormonothérapie","dosage de l'antigène prostatique spécifique (psa),biopsie de la prostate,irm pelvienne"
cancer du rein,"douleur dans le dos ou sur le côté,masse abdominale palpable,sang dans l'urine,fatigue,perte de poids inexpliquée","chirurgie,immunothérapie,thérapie ciblée","imagerie rénale (irm et scanner),urographie intraveineuse,biopsie rénale"
cancer du testicule,"gonflement ou masse dans le testicule,douleur ou inconfort dans le testicule ou le scrotum,sensation de lourdeur dans le scrotum,douleur ou inconfort dans le bas du dos ou l'aine","chirurgie,chimiothérapie,radiothérapie","examen physique,échographie testiculaire,biopsie"
cancer de la thyroïde,"gonflement ou bosse dans le cou,changements dans la voix,difficulté à avaler,douleur dans le cou","chirurgie,thyroïdectomie,radiothérapie","échographie thyroïdienne,scintigraphie thyroïdienne,biopsie à l'aiguille fine"
sarcome des tissus mous,"masse ou gonflement indolore,douleur persistante,saignements inhabituels,fatigue","chirurgie,radiothérapie,chimiothérapie","biopsie,irm,scanner"
carcinome de la vessie,"sang dans l'urine,douleur à la miction,besoin fréquent d'uriner,douleur pelvienne","chirurgie,chimiothérapie,immunothérapie","cystoscopie,urographie intraveineuse,biopsie de la vessie"
myélome,"douleurs osseuses, surtout dans le dos ou les côtes,fatigue,fractures osseuses fréquentes,infections récurrentes,perte de poids inexpliquée","chimiothérapie,transplantation de cellules souches,thérapie ciblée","électrophorèse des protéines sériques et urinaires,biopsie de moelle osseuse,imagerie médicale"
plasmocytome,"douleurs osseuses localisées,masse palpable sur les os,fractures osseuses,fatigue","chirurgie,radiothérapie,chimiothérapie","biopsie,imagerie médicale,analyse sanguine"
pneumonie,"fièvre,toux avec expectorations,douleur thoracique,difficulté à respirer","antibiotiques,antipyrétiques,repos","radiographie pulmonaire,analyse de sang"
bronchite,"toux persistante,production de mucosités,fatigue fièvre légère","repos,antitussifs,hydratation","analyse de crachat,radiographie pulmonaire si nécessaire"
otite,"douleur à l'oreille,fièvre perte auditive temporaire","antibiotiques (si bactérienne),analgésiques,gouttes auriculaires",examen de l'oreille par un professionnel de la santé
méningite,"raideur de la nuque,maux de tête sévères fièvre,confusion","antibiotiques,traitement de support,hospitalisation","ponction lombaire,analyse de liquide céphalorachidien"
angine,"maux de gorge,difficulté à avaler,fièvre ganglions enflés","antibiotiques (si bactérienne),antalgiques,gargarismes","examen de la gorge,analyse de la gorge pour détecter une infection bactérienne"
infections urinaires,"brûlures en urinant,besoin fréquent d'uriner,douleur pelvienne","antibiotiques,hydratation,repos","analyse d'urine,culture d'uriner"
panaris,"rougeur et gonflement autour de l'ongle,douleur pulsatile","drainage de l'abcès, antibiotiques,repos","examen clinique,culture du pus si nécessaire"
septicémie,"fièvre élevée,confusion,frissons,hypotension","antibiotiques par voie intraveineuse,soutien hémodynamique,soins intensifs","hémoculture,analyse de sang approfondie"
varicelle,"éruption cutanée avec des démangeaisons,fièvre,maux de tête,fatigue","antihistaminiques,antipyrétiques,calamine pour les démangeaisons",les symptômes sont souvent suffisants pour le diagnostic
rougeole,"éruption cutanée,fièvre élevée,toux,conjonctivite","repos,antipyrétiques,vitamine a en cas de carence","analyse de sang,observation des symptômes caractéristiques"
rubéole,"éruption cutanée légère,fièvre légère,ganglions enflés","repos,gestion des symptômes",analyse de sang pour détecter les anticorps
coqueluche,"toux sévère par accès,éternuements,épuisement,vomissements après la toux","antibiotiques,vaccin de rappel",prélèvement de sécrétions nasales pour la culture
oreillons,"gonflement des glandes salivaires,fièvre,douleur en mangeant ou en buvant","repos,antipyrétiques,compresses chaudes sur les glandes enflées",observation des symptômes caractéristiques
maladies cardiovasculaires,"douleur thoracique,essoufflement,fatigue,palpitations","médicaments antiplaquettaires,médicaments pour abaisser la pression artérielle","électrocardiogramme (ecg),échocardiographie"
accidents vasculaires cérébraux,"engourdissement,faiblesse soudaine,confusion,maux de tête sévères","thérapie de revascularisation,médicaments anticoagulants","tomographie par ordinateur (tdm) du cerveau,imagerie par résonance magnétique (irm)"
cancer,"perte de poids inexpliquée,bosse anormale,fatigue persistante","chirurgie,chimiothérapie,radiothérapie","biopsie,imagerie médicale"
diabète,"soif excessive,mictions fréquentes,fatigue,vision floue","insuline,médicaments hypoglycémiants","test de glycémie à jeun,test d'hémoglobine a1c"
arthrite,"douleur articulaire,gonflement,raideur,fatigue","anti-inflammatoires,physiothérapie","analyse de sang,imagerie des articulations"
maux de dos,"douleur dans le bas du dos,raideur musculaire,douleur irradiant vers les jambes","repos,physiothérapie,médicaments analgésiques","radiographie de la colonne vertébrale,irm"
dépression chronique,"tristesse persistante,perte d'intérêt,fatigue,troubles du sommeil","psychothérapie,antidépresseurs","entretien avec un professionnel de la santé mentale,questionnaires de dépistage"
paludisme,"fièvre,frissons,maux de tête,fatigue","antipaludiques,repos",test de dépistage du paludisme
bilharziose (schistosomiase),"fièvre,toux,éruption cutanée,douleurs musculaires","antiparasitaires,antibiotiques",examen microscopique des selles ou de l'urine
trypanosomiase africaine,"fièvre,fatigue,maux de tête,ganglions enflés","médicaments antiparasitaires,antibiotiques",test sanguin
maladie de chagas,"fièvre,fatigue,gonflement des paupières,troubles cardiaques","médicaments antiparasitaires,médicaments pour le cœur","test sanguin,électrocardiogramme (ecg)"
leishmaniose (kala azar),"fièvre prolongée,perte de poids,anémie,enflure de la rate et du foie","médicaments antiparasitaires,traitement de support",aspiration de moelle osseuse
