Maladies,Symptomes,Traitement,Examens,Symptomes_lem_token,Symptomes_stem_token
tréponématose non vénérienne,"lésions cutanées (chancre),ganglions lymphatiques enflés,fièvre,fatigue,maux de tête,douleurs musculaires,éruptions cutanées","pénicilline,doxycycline","test de dépistage de la tréponématose non vénérienne,examen microscopique",maux lésion fatigue maux cutanée tête musculaire enflé ganglion lymphatique fièvre éruption chancre,lesion maux fatigu erupt musculair maux enfl tete fievr peau ganglion lymphatiqu chancr
diabète de type 2,"polyurie (urination fréquente),soif excessive,faim excessive,fatigue,vision floue,cicatrisation lente des plaies,engourdissement ou picotements dans les pieds ou les mains,infections fréquentes","médicaments hypoglycémiants,régime alimentaire,exercice physique","glycémie à jeun,hémoglobine a1c",faim vision floue polyurie lente excessive cicatrisation fréquente play fréquente engourdisse infection main pied soif picotement urination fatigue,faim vision floue pie fatigu exces engourdis picot frequent polyuri cicatri plai soif main urin lent infect
hypertension artérielle,"maux de tête fréquents,vertiges,essoufflement,fatigue,vision floue,saignements de nez fréquents,battements cardiaques irréguliers,étourdissements","antihypertenseurs,changement de mode de vie","mesure de la pression artérielle,analyse d'urine",maux vision fréquent floue saignement nez cardiaque irrégulier vertige étourdissement battement tête essouffle fatigue,maux vision floue nez fatigu cardiaqu irreguli batte etourdis frequent tete vertig saigne essouffl
cancer du sein,"nodule ou masse dans le sein ou l'aisselle,changement de taille ou de forme du sein,douleur au sein ou au mamelon,écoulement du mamelon (autre que le lait maternel),peau du sein rouge, épaissie ou présentant des écailles,changements dans l'apparence du mamelon ou de l'aréole","chirurgie,chimiothérapie,radiothérapie","mammographie,biopsie",nodule sein maternel peau autre aréole présentant écaille mamelon changement maux change épaissie forme aisselle écoule lait taille rouge apparence masse,sein maternel autr peau form mas mamelon maux ecail change ecoul taill areol epaissi present roug nodul lait appar aissel
glaucome,"vision floue ou réduite,vision des halos autour des lumières,maux de tête,nausées ou vomissements,œil rouge,perte de vision latérale (vision périphérique)","collyres,chirurgie au laser,chirurgie traditionnelle","mesure de la pression intraoculaire,examen du champ visuel,gonioscopie",vision floue maux nausée lumière œil périphérique réduite halo rouge tête vomissement latérale perte autour,vision floue maux roug pert lateral lumier vomis halo tete oeil nause peripheriqu reduit autour
leucémie,"fatigue intense,perte de poids inexpliquée,fièvre persistante ou fréquente,infections fréquentes,saignements ou ecchymoses faciles,ganglions lymphatiques enflés,douleurs osseuses ou articulaires,anémie","chimiothérapie,greffe de moelle osseuse,thérapie ciblée","analyse de sang (numération sanguine complète),biopsie de la moelle osseuse,imagerie médicale",intense persistante fréquente osseuse infection perte poid fréquente facile articulaire inexpliquée enflé fatigue saignement anémie maux ecchymosi ganglion lymphatique fièvre,enfl inten lymphatiqu ecchymo fatigu pert frequent maux poid facil anemi saigne infect inexplique articulair persistant osseu ganglion fievr
maladie de crohn,"diarrhée fréquente,douleurs abdominales,perte de poids inexpliquée,fatigue,fièvre,saignements rectaux,inflammation des articulations,ulcérations buccales","anti-inflammatoires,immunosuppresseurs,chirurgie","endoscopie,coloscopie,imagerie par résonance magnétique (irm)",poid rectaux saignement fréquente maux ventre diarrhée articulation ulcération buccale fièvre inexpliquée perte fatigue inflammation,rectaux inexplique pert fatigu inflamm ulcer diarrhe ventre frequent maux buccal poid articul fievr saigne
maladie d'alzheimer,"perte de mémoire,difficulté à se rappeler des informations récentes,confusion mentale,difficulté à effectuer des tâches familières,changements de personnalité,difficulté à trouver des mots,problèmes de jugement","médicaments antidémence,thérapie occupationnelle,soutien psychologique","évaluation cognitive,imagerie cérébrale,analyses de sang",difficulté changement problème familière juge trouver récente mot mentale effectuer confusion mémoire tâche rappeler perte information personnalité,inform recent pert juge difficult confu trouver memoir rappel familier problem change personnalit effectu mot tach mental
maladie de parkinson,"tremblements au repos,raideur musculaire,lenteur des mouvements,difficulté à commencer ou à arrêter un mouvement,problèmes d'équilibre,changements de l'expression faciale (masque parkinsonien)","médicaments dopaminergiques,thérapie physique,chirurgie cérébrale profonde","examen neurologique,imagerie cérébrale,tests sanguins",difficulté mouve changement problème expression parkinsonien musculaire arrêter équilibre tremblement raideur faciale commencer masque repo lenteur mouvement,mouve facial difficult musculair expres repo parkinsonien equilibr problem change commenc raideur tremble arret masqu lenteur
asthme,"essoufflement,toux fréquente, en particulier la nuit,sifflements ou respiration sifflante,sensation de serrement dans la poitrine,fatigue due à un effort physique","inhalateurs de corticostéroïdes,bronchodilatateurs,thérapie respiratoire","spirométrie,tests d'allergie,radiographie thoracique",sifflante serre fréquente toux sifflement sensation essouffle nuit poitrine due physique respiration effort fatigue particulier,essouffl siffle serre particuli fatigu sensat sifflant frequent poitrin nuit physiqu respir effort due toux
maladie cœliaque,"diarrhée chronique,douleurs abdominales,ballonnements,fatigue,perte de poids inexpliquée,anémie,irritabilité","régime sans gluten,suppléments nutritionnels,médicaments symptomatiques","analyse de sang (anticorps),biopsie de l'intestin grêle,tests génétiques",poid anémie maux ventre irritabilité diarrhée ballonnement inexpliquée perte fatigue chronique,inexplique fatigu pert diarrhe ventre maux poid chroniqu irritabilit ballonn anemi
fibromyalgie,"douleurs musculaires diffuses,fatigue généralisée,troubles du sommeil,raideur matinale,problèmes de concentration (brouillard cérébral),maux de tête","médicaments analgésiques,thérapie physique,thérapie cognitivo-comportementale","aucun test spécifique,diagnostic basé sur les symptômes",maux matinale problème concentration maux sommeil tête généralisée musculaire trouble raideur brouillard cérébral diffuse fatigue,maux fatigu musculair maux sommeil matinal tete cerebr problem concentr troubl brouillard generalise raideur diffu
arthrite rhumatoïde,"douleurs articulaires,raideur articulaire,enflure des articulations,fatigue,fièvre,perte d'appétit,nodules sous la peau","médicaments anti-inflammatoires,thérapie physique,médicaments antirhumatismaux","analyse de sang (facteur rhumatoïde),radiographie articulaire,échographie articulaire",nodule enflure appétit maux articulaire articulaire peau raideur articulation fièvre sou perte fatigue,appetit fatigu pert nodul enflur maux articul peau raideur fievr articulair sou
maladie cardiaque coronarienne,"douleur thoracique ou inconfort (angine de poitrine),essoufflement,fatigue,nausées,sueur excessive,douleur ou engourdissement dans les bras, le cou, la mâchoire ou le dos","médicaments anti-angineux,angioplastie coronarienne,bypass coronarien","électrocardiogramme (ecg),échocardiographie,cathétérisme cardiaque",nausée sueur excessive mâchoire maux angine thoracique bra poitrine do essouffle cou inconfort engourdisse fatigue,fatigu thoraciqu sueur exces engourdis angin machoir maux poitrin bra do cou nause inconfort essouffl
sclérose en plaques,"fatigue,problèmes de vision,engourdissements ou picotements,faiblesse musculaire,difficulté à coordonner les mouvements,troubles de la mémoire et de la concentration","médicaments immunomodulateurs,thérapie physique,médicaments symptomatiques","irm cérébrale et médullaire,ponction lombaire,électromyographie (emg)",vision difficulté problème concentration engourdissement faiblesse musculaire trouble mémoire picotement fatigue coordonner mouvement,vision mouve coordonn fatigu difficult engourdis picot musculair memoir problem concentr troubl faibles
tumeur du cerveau,"maux de tête persistants,nausées et vomissements,convulsions,changements dans la vision,problèmes d'équilibre et de coordination,changements de personnalité ou d'humeur,confusion ou désorientation,problèmes de mémoire,engourdissement ou faiblesse dans les bras ou les jambes,troubles du sommeil,difficultés d'élocution,vision floue ou double,changements dans la sensation ou le mouvement d'une partie du corps","chirurgie,radiothérapie,chimiothérapie","imagerie cérébrale (irm et scanner),biopsie,analyse sanguine",sommeil tête bra engourdisse personnalité maux changement vision problème humeur sensation mémoire désorientation convulsion mouve jambe trouble confusion difficulté vomissement coordination floue persistant nausée corp équilibre élocution faiblesse partie double,difficult sommeil convul bra problem coordin doubl persist maux vision humeur vomis memoir equilibr change troubl jamb parti desorient faibles mouve sensat elocut tete floue confu engourdis corp personnalit nause
cancer du col utérin,"saignements vaginaux anormaux,douleur pendant les rapports sexuels,douleur pelvienne,fatigue,perte de poids inexpliquée,écoulement vaginal anormal","chirurgie,radiothérapie,chimiothérapie","frottis cervico-utérin,colposcopie,biopsie",poid saignement pelvienne anormaux maux vaginaux écoule rapport vaginal sexuel anormaux inexpliquée perte fatigue,inexplique fatigu pert anormaux ecoul maux vagin vaginaux poid rapport pelvienn anorm saigne sexuel
cancer colorectal,"changements dans les habitudes intestinales,sang dans les selles,douleur abdominale,fatigue,perte de poids inexpliquée,anémie","chirurgie,chimiothérapie,radiothérapie","coloscopie,sigmoïdoscopie,analyses de sang",changement poid anémie ventre maux perte selle habitude intestinale inexpliquée sang fatigue,habitud inexplique fatigu pert ventre maux poid change intestinal anemi sell sang
cancer de l'endomètre,"saignements vaginaux anormaux,douleur pelvienne,douleur pendant les rapports sexuels,fatigue,perte de poids inexpliquée","chirurgie,radiothérapie,hormonothérapie","biopsie de l'endomètre,échographie pelvienne,imagerie médicale",poid saignement pelvienne anormaux maux vaginaux rapport sexuel inexpliquée perte fatigue,inexplique fatigu pert anormaux maux vaginaux poid rapport pelvienn saigne sexuel
cancer de l'estomac,"douleur abdominale,sensation de plénitude après un repas,perte d'appétit,perte de poids inexpliquée,difficulté à avaler","chirurgie,chimiothérapie,radiothérapie","endoscopie gastrique,biopsie,imagerie médicale",poid difficulté avaler appétit repa plénitude ventre maux sensation aprè inexpliquée perte,inexplique appetit pert sensat difficult aval ventre maux apr poid repa plenitud
cancer du foie,"douleur abdominale,gonflement de l'abdomen,jaunissement de la peau et des yeux (ictère),perte de poids inexpliquée,fatigue","chirurgie,transplantation hépatique,chimioembolisation","échographie abdominale,irm du foie,biopsie hépatique",poid gonfle ventre jaunisse maux yeux peau ictère inexpliquée perte fatigue,inexplique jaunis gonfle pert fatigu ventre maux icter poid yeux peau
